kode_kbli,uraian
05200,Pertambangan Lignit Pemindangan
06100,Pertambangan Minyak Bumi
10295,Pengolahan dan Pengawetan Biota Air Lainnya dengan
06201,Pertambangan Gas Alam Fermentasi
06202,Pengusahaan Tenaga Panas Bumi
10296,Pengolahan dan Pengawetan Biota Air Lainnya dengan
07101,Pertambangan Pasir Besi Pelumatan
07102,Pertambangan Bijih Besi
10297,Pengolahan dan Pengawetan Biota Air Lainnya dengan
07210,Pertambangan Bijih Uranium Dan Torium Pengalengan
07221,Pertambangan Emas dan Perak
10298,Pengolahan dan Pengawetan Rumput Laut
07229,Pertambangan Bijih Logam Mulia Lainnya
10299,Pengolahan dan Pengawetan Biota Air Lainnya dengan
07291,Pertambangan Bijih Timah Metode Lainnya
07292,Pertambangan Bijih Timah Hitam
10301,Pengasinan Buah-buahan dan Sayuran
07293,Pertambangan Bijih Bauksit
10302,Pelumatan Buah-buahan dan Sayuran
07294,Pertambangan Bijih Tembaga
10303,Pengeringan Buah-buahan dan Sayuran
07295,Pertambangan Bijih Nikel
10304,Pembekuan Buah-buahan dan Sayuran
07296,Pertambangan Bijih Mangan
10305,Pengalengan Buah-buahan dan Sayuran
07299,Pertambangan Bahan Galian Lainnya yang Tidak
10306,Pengolahan Sari Buah-buahan dan Sayuran
10307,Pembuatan Tempe Kedelai
08101,Penggalian Batu Hias dan Batu Bangunan
10308,Pembuatan Tahu Kedelai
08102,Penggalian Batu Kapur/Gamping
10309,Pengolahan dan Pengawetan Lainnya untuk Buah-buahan
08103,Penggalian Kerikil/Sirtu dan Sayuran
08104,Penggalian Pasir
10411,Industri Minyak Mentah dan Lemak Nabati Bukan Kelapa
08105,Penggalian Tanah dan Tanah Liat
08106,Penggalian Gips
10412,Industri Margarin
10413,Industri Minyak Mentah dan Lemak dari Hewan Selain Ikan
08107,Penggalian Tras
10414,Industri Minyak Ikan
08108,Penggalian Batu Apung
08109,"Penggalian Batu, Pasir, dan Tanah Liat Lainnya"
10415,Industri Minyak Goreng dan Minyak Makan Bukan Minyak
08911,Pertambangan Belerang
10419,Industri Minyak Mentah dan Lemak Nabati dan Hewani
08912,Pertambangan Fosfat
08913,Pertambangan Nitrat
10421,Industri Kopra
08914,Pertambangan Yodium
10422,Industri Minyak Mentah Kelapa
08915,Pertambangan Potash (Kalium Karbonat)
10423,Industri Minyak Goreng Kelapa
08919,"Pertambangan Mineral, Bahan Kimia, dan Bahan Pupuk"
10431,Industri Minyak Mentah Kelapa Sawit (Crude Palm Oil)
10432,Industri Minyak Mentah Inti Kelapa Sawit (Crude Palm
08920,Ekstraksi Tanah Gambut (Peat)
08930,Ekstraksi Garam
10433,Industri Pemisahan/Fraksinasi Minyak Mentah Kelapa Sawit
08991,Pertambangan Batu Mulia
08992,Penggalian Feldspar dan Kalsit
10434,Industri Pemurnian Minyak Mentah Kelapa Sawit dan
08993,Pertambangan Aspal Alam
08994,Penggalian Asbes
10435,Industri Pemisahan/Fraksinasi Minyak Murni Kelapa Sawit
08995,Penggalian Kuarsa/Pasir Kuarsa
10436,Industri Pemisahan/Fraksinasi Minyak Murni Inti Kelapa
08996,Pertambangan Bijih Logam Tanah Jarang
08999,Pertambangan dan Penggalian Lainnya YTDL
10437,Industri Minyak Goreng Kelapa Sawit
09100,Aktivitas Penunjang Pertambangan Minyak Bumi dan Gas
10501,Industri Susu Segar dan Krim
10502,Industri Susu Bubuk dan Susu Kental
09900,Aktivitas Penunjang Pertambangan dan Penggalian Lainnya
10503,Industri Es Krim
10504,Industri Es yang Dapat Dimakan dan Es Pencuci Mulut
10509,Industri Produk Susu Lainnya
10611,Industri Produk Gilingan Gandum (Selain Tepung Terigu)
10111,Kegiatan Rumah Potong Hewan Ruminansia
10112,Kegiatan Rumah Potong Babi
10612,Industri Produk Gilingan Aneka Kacang
10113,Kegiatan Rumah Potong Unggas
10613,"Industri Produk Gilingan Aneka Umbi, Tanaman Rimpang,"
10119,Kegiatan Rumah Potong Hewan Lainnya
10120,Pengolahan dan Pengawetan Daging dan Produk Daging
10614,Industri Tepung Campuran dan Adonan Tepung
10211,Pengolahan dan Pengawetan Ikan dengan Penggaraman
10615,Industri Makanan Sereal
10616,Industri Tepung Terigu
10212,Pengolahan dan Pengawetan Ikan dengan Pengasapan
10621,Industri Pati Ubi Kayu
10622,Industri Berbagai Macam Pati Palem
10213,Pengolahan dan Pengawetan Ikan dengan Pembekuan
10623,Industri Glukosa dan Sejenisnya
10214,Pengolahan dan Pengawetan Ikan dengan Pemindangan
10629,Industri Pati dan Produk Pati Lainnya
10215,Pengolahan dan Pengawetan Ikan dengan Fermentasi
10631,Industri Penggilingan Padi dan Penyosohan Beras
10216,Pengolahan dan Pengawetan Ikan dengan Pelumatan
10632,Industri Pemipilan Jagung
10633,Industri Tepung Beras dan Tepung Jagung
13994,Industri Kain Ban
10634,Industri Pati Beras dan Jagung
13995,Industri Kapuk
10635,Industri Pemanis dari Beras dan Jagung
13996,"Industri Kain Tule, Kain Jaring, dan Kain Bordir"
10636,Industri Minyak dari Beras dan Jagung
