kode_kbji,uraian
3131,Operator Mesin Produksi Tenaga Listrik
3421,Atlet Dan Olahragawan
3132,Operator Mesin Pembakaran Sampah Dan Pengolahan Air
3422,"Pelatih, Instruktur Dan Kru Olahraga"
3423,"Instruktur Dan Pelatih Program Kebugaran Dan Rekreasi 5151 Pengawas Kebersihan Dan Kerumahtanggan Di Kantor,"
3431,"Fotografer Hotel, Dan Bangunan Lainnya"
3432,Desainer Dan Dekorator Interior 5152 Pengurus Kerumahtanggaan
3433,"Teknisi Galeri, Museum, Dan Perpustakaan 5153 Pengelola Gedung"
3434,"Chef 5161 Astrolog, Peramal Dan YBDI"
3435,Asisten Profesional Kesenian Dan Budaya Lainnya 5162 Ajudan Dan Pelayan Pribadi
3511,Teknisi Operasi Teknologi Informasi Dan Komunikasi 5163 Pengurus Pembalseman Dan Pemakaman Jenazah
3512,Teknisi Pendukung Penggunaan Teknologi Informasi Dan 5164 Pelatih Dan Pekerja Perawatan Hewan
3513,Teknisi Jaringan Dan Sistem Komputer 5169 Tenaga Usaha Jasa Perorangan YTDL
3514,Teknisi WEB 5211 Pedagang Di Kios Dan Los Pasar
3521,Teknisi Penyiaran Dan Audio-Visual 5212 Pedagang Makanan Kaki Lima
3522,Teknisi Rekayasa Telekomunikasi 5221 Pemilik Toko
5222,Supervisor Toko
5230,Kasir Dan Petugas Tiket
5241,Model Fesyen Dan Model Lainnya
5242,Peraga Penjualan
4110,Tenaga Perkantoran Umum
5243,Pedagang Rumah Ke Rumah
4120,Sekretaris
5244,Pedagang Melalui Pusat Informasi
4131,Juru Ketik Dan Operator Mesin Pengolah Kata
5245,Petugas Stasiun Pengisian Bahan Bakar
4132,Petugas Entri Data
5246,Petugas Konter Layanan Makanan
4211,Teller Bank Dan YBDI
5249,Pekerja Penjualan YTDL
4212,"Juru Taruh, Bandar, Dan YBDI"
5311,Pekerja Perawatan Anak
4213,Juru Gadai Dan Pemberi Pinjaman Uang
5312,Asisten Pengajar
4214,Penagih Hutang Dan YBDI
5321,Asisten Perawatan Kesehatan
4221,Tenaga Tata Usaha Perjalanan Dan Konsultan Perjalanan
5322,Pekerja Perawatan Pribadi Di Rumah
4222,Tenaga Tata Usaha Informasi Pusat Kontak
5329,Pekerja Perawatan Pribadi Dalam Jasa Kesehatan YTDL
4223,Operator Telepon
5411,Petugas Pemadam Kebakaran
4224,Resepsionis Hotel
5413,Penjaga Lembaga Pemasyarakatan
4225,Tenaga Tata Usaha Penerangan
5414,Penjaga Keamanan
4226,Resepsionis
5419,Tenaga Usaha Jasa Perlindungan YTDL
4227,Pewawancara Survei Dan Penelitian Pasar
4229,Tenaga Tata Usaha Informasi Pelanggan YTDL
4311,Juru Tata Usaha Akuntansi Dan Pembukuan
4312,"Juru Tata Usaha Statistik, Keuangan Dan Asuransi"
4313,Juru Tata Usaha Penggajian Perikanan
4321,Juru Tata Usaha Pergudangan
4322,Juru Tata Usaha Produksi 6111 Pekerja Pertanian Tanaman Pangan Dan Tanaman
4323,Juru Tata Usaha Transportasi
6112,Pekerja Pertanian Tanaman Tahunan Dan Tanaman Semak
4411,Juru Tata Usaha Perpustakaan
6113,Pekerja Pertanian Tanaman Kebun Bibit Dan Tanaman
4412,Juru Tata Usaha Pengiriman Dan Penyortiran Surat
4413,"Juru Kode, Juru Koreksi, Dan YBDI"
6114,Pekerja Pertanian Tanaman Campuran (Tumpang Sari)
4414,Juru Tulis Dan YBDI
6121,Pekerja Peternakan Hewan Besar Dan Kecil Serta Penghasil
